Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
2025-07-01,AAPL,209.02,206.68,210.48,205.01,53813618,3226224390243.9023,27.38,0.52,7.55,231.45,173.54,Technology
2025-07-01,ABBV,187.01,189.97,191.84,186.3,14831744,322688767123.28766,14.09,3.48,13.48,255.99,158.77,Healthcare
2025-07-01,ABT,115.83,113.9,117.36,112.75,18439336,189833333333.33334,24.09,1.7,4.73,131.38,83.47,Healthcare
2025-07-01,ADBE,598.97,597.43,604.53,594.05,32093085,258886333333.3333,41.74,0.0,14.31,802.91,422.6,Technology
2025-07-01,ADP,248.69,248.51,249.3,247.11,3084969,102327647058.82353,31.3,2.22,7.94,274.26,228.28,Financials
2025-07-01,AMD,172.14,175.47,177.04,169.98,13307626,265863636363.63635,39.76,0.0,4.41,223.79,157.79,Technology
2025-07-01,AMGN,314.11,314.21,316.22,309.99,4963861,159680491803.2787,14.86,3.27,21.14,392.99,258.57,Healthcare
2025-07-01,AMT,198.54,203.17,205.79,197.07,8581514,94151951219.51219,29.22,2.29,6.95,232.01,163.94,Real Estate
2025-07-01,AMZN,178.35,182.09,183.19,176.21,66653598,1872925714285.7144,35.41,0.0,5.14,214.86,166.08,Consumer Discretionary
2025-07-01,AVGO,1713.93,1666.58,1723.13,1657.26,11761290,764666117647.0587,34.13,1.78,48.83,2216.59,1473.91,Technology
2025-07-01,BAC,44.54,45.26,45.64,44.25,29575943,336818604651.1628,16.64,2.13,2.72,50.63,41.62,Financials
2025-07-01,BKNG,3680.82,3632.24,3690.57,3599.05,7074871,130760640000.0,21.96,0.0,165.4,4005.58,2653.85,Consumer Discretionary
2025-07-01,BLK,874.29,864.14,877.51,860.22,6525026,133324457142.85713,21.85,2.26,39.55,1150.19,706.89,Financials
2025-07-01,BMY,53.96,54.12,54.65,53.82,14203213,103320000000.0,10.1,4.8,5.36,62.53,41.38,Healthcare
2025-07-01,BRK.B,431.18,438.02,443.66,429.57,32605244,906248275862.069,18.93,0.0,23.14,543.87,299.75,Financials
2025-07-01,C,64.56,64.13,65.25,63.53,5791822,123326923076.92307,12.52,3.76,5.12,86.03,45.81,Financials
2025-07-01,CAT,361.07,359.92,363.39,356.7,14193295,187158400000.0,16.96,1.99,21.22,392.29,277.06,Industrials
