Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
2025-06-01,AAPL,185.96,187.79,188.85,183.74,42257183,2931356097560.9756,28.37,0.49,6.62,248.2,155.68,Technology
2025-06-01,ABBV,189.63,193.64,194.31,188.03,33074970,328922739726.02734,16.74,3.51,11.57,210.83,127.91,Healthcare
2025-06-01,ABT,118.79,120.08,120.53,118.01,17130934,200133333333.3333,19.39,1.84,6.19,140.79,99.26,Healthcare
2025-06-01,ADBE,584.51,567.78,587.97,561.25,11080360,246037999999.99997,43.29,0.0,13.12,727.11,407.82,Technology
2025-06-01,ADP,253.46,255.6,258.59,249.91,10319559,105247058823.52942,29.92,2.04,8.54,303.75,234.28,Financials
2025-06-01,AMD,165.43,168.78,170.72,164.07,10584162,255727272727.27274,44.72,0.0,3.77,204.7,142.5,Technology
2025-06-01,AMGN,299.22,302.81,305.29,295.26,14763333,153887049180.32788,11.97,3.28,25.3,381.11,260.01,Healthcare
2025-06-01,AMT,202.28,206.84,208.15,200.1,10717215,95852682926.82927,25.69,2.61,8.05,267.69,182.52,Real Estate
2025-06-01,AMZN,166.23,162.71,168.49,161.02,45110313,1673588571428.5715,40.2,0.0,4.05,186.89,141.97,Consumer Discretionary
2025-06-01,AVGO,1698.77,1690.55,1720.26,1673.44,15092262,775664117647.0587,34.84,1.87,48.52,2029.46,1315.81,Technology
2025-06-01,BAC,45.0,45.43,46.09,44.68,10966564,338083720930.2326,14.08,2.2,3.23,53.76,40.9,Financials
2025-06-01,BKNG,3742.26,3676.42,3794.0,3649.06,6081945,132351120000.00002,24.22,0.0,151.79,4759.83,2569.42,Consumer Discretionary
2025-06-01,BLK,874.99,873.77,884.46,864.67,3147396,134810228571.42856,23.37,2.19,37.39,989.64,721.4,Financials
2025-06-01,BMY,52.76,53.74,53.89,52.33,6599425,102594545454.54546,9.62,4.66,5.59,68.67,37.04,Healthcare
2025-06-01,BRK.B,431.9,436.58,440.04,430.73,11973447,903268965517.2413,17.99,0.0,24.27,487.82,300.73,Financials
2025-06-01,C,65.08,65.95,66.09,64.45,2144571,126826923076.92308,9.7,3.87,6.8,72.63,51.61,Financials
2025-06-01,CAT,384.02,384.87,387.62,378.61,10665923,200132400000.00003,15.35,2.02,25.07,490.87,351.73,Industrials
2025-06-01,CB,237.87,234.62,240.14,232.93,2561958,90975102040.81633,12.76,1.71,18.39,266.6,187.68,Financials
2025-06-01,COST,876.35,863.35,879.47,859.84,33745533,374940571428.5714,47.66,0.51,18.11,1077.17,569.56,Consumer Staples
2025-06-01,CRM,271.59,280.4,284.35,268.26,28273280,265105454545.4545,32.76,0.0,8.56,362.11,195.71,Technology
2025-06-01,CVX,158.18,156.17,159.12,155.42,25867511,278703384615.3846,15.74,2.72,9.92,180.41,143.05,Energy
2025-06-01,DIS,114.27,115.1,116.54,112.66,8662394,198623893805.30972,31.7,0.0,3.63,124.83,79.92,Communication Services
2025-06-01,DUK,105.44,104.17,106.9,103.9,6758109,77654000000.0,17.84,3.58,5.84,123.95,82.3,Utilities
2025-06-01,ELV,571.5,561.86,579.64,560.73,6732212,126545045045.04504,15.5,1.02,36.25,719.97,513.65,Healthcare
2025-06-01,GE,171.5,175.57,177.16,170.07,8209691,185602571428.57144,30.06,0.41,5.84,194.8,114.65,Industrials
2025-06-01,GILD,79.59,79.6,80.61,78.96,2509653,94524999999.99998,16.46,4.11,4.84,98.94,62.16,Healthcare
2025-06-01,GOOGL,175.92,173.56,177.82,171.2,79493299,2065019830028.3286,27.84,0.0,6.23,232.83,144.03,Communication Services
2025-06-01,GS,457.99,469.09,471.92,454.42,2514236,158062934782.6087,12.52,2.2,37.47,525.79,425.27,Financials
2025-06-01,HD,377.18,369.95,378.37,365.19,34920614,385153424657.5342,23.14,2.36,15.99,471.98,305.16,Consumer Discretionary
2025-06-01,HON,217.25,219.24,222.1,215.32,10890691,147859534883.72095,24.21,2.2,9.06,293.1,191.94,Industrials
2025-06-01,IBM,186.67,184.32,187.4,182.15,10304044,165415384615.3846,22.89,3.49,8.05,240.24,156.1,Technology
2025-06-01,INTC,32.42,31.38,32.84,31.25,13934407,121037142857.14285,20.13,1.55,1.56,38.1,20.55,Technology
2025-06-01,INTU,672.27,653.96,676.65,647.87,14178381,176066153846.15387,67.29,0.59,9.72,750.54,556.15,Technology
2025-06-01,ISRG,450.23,451.65,456.82,447.18,8572033,152186413043.47824,56.6,0.0,7.98,565.13,299.78,Healthcare
2025-06-01,JNJ,164.64,166.89,169.28,162.98,20035035,420983783783.78375,17.29,2.6,9.65,219.29,108.78,Healthcare
2025-06-01,JPM,207.75,211.91,213.68,206.93,29302227,592326746987.9519,12.68,2.26,16.71,271.36,153.49,Financials
2025-06-01,KO,69.69,70.26,70.71,68.69,18110190,306396992481.203,25.27,2.78,2.78,77.91,54.51,Consumer Staples
2025-06-01,LLY,964.42,970.7,972.94,955.51,8595495,868521052631.579,44.69,1.23,21.72,1089.75,654.37,Healthcare
2025-06-01,LMT,487.43,484.23,489.09,479.17,10255835,116013437500.00002,19.34,2.36,25.04,612.22,367.69,Industrials
2025-06-01,LOW,253.18,248.55,256.24,245.36,3748378,157245918367.34695,22.67,1.87,10.96,268.66,205.2,Consumer Discretionary
2025-06-01,MA,469.91,480.99,485.45,466.17,22430716,450928125000.00006,36.76,0.48,13.08,633.64,416.95,Financials
2025-06-01,MDLZ,71.04,72.19,73.07,70.61,10820982,92676351351.35135,20.66,2.08,3.49,85.92,48.63,Consumer Staples
2025-06-01,MDT,93.41,94.36,94.95,93.08,13707957,120571111111.11111,14.69,3.5,6.42,121.44,72.21,Healthcare
2025-06-01,META,517.09,522.61,524.82,512.93,35272628,1448819801980.198,23.54,0.4,22.2,604.86,374.0,Communication Services
2025-06-01,MMC,213.99,219.32,221.47,210.94,8908205,107109767441.86046,24.27,1.68,9.04,257.19,195.85,Financials
2025-06-01,MRK,134.91,133.74,135.59,132.01,29700176,329206153846.1539,16.22,2.9,8.25,163.43,112.09,Healthcare
2025-06-01,MS,99.67,97.4,101.06,96.91,4834802,160710000000.0,13.46,3.1,7.24,118.33,80.92,Financials
2025-06-01,MSFT,431.7,441.16,446.85,428.25,77372967,3143898850574.713,32.59,0.7,13.54,588.01,368.7,Technology
2025-06-01,NEE,81.08,80.07,81.7,79.82,11434186,165144375000.0,24.33,2.6,3.29,86.8,53.15,Utilities
2025-06-01,NFLX,677.17,679.2,685.01,673.5,28093692,281742222222.2222,36.49,0.0,18.61,781.79,494.42,Communication Services
2025-06-01,NKE,93.76,93.02,94.68,92.28,2147750,139530000000.0,24.53,1.02,3.79,122.49,79.73,Consumer Discretionary
2025-06-01,NOW,825.88,845.11,847.43,817.5,12153573,173993235294.11765,90.39,0.0,9.35,982.61,689.73,Technology
2025-06-01,NVDA,504.66,492.74,509.35,489.9,84028190,2759344000000.0,49.22,0.0,10.01,533.23,417.97,Technology
2025-06-01,ORCL,144.9,147.37,148.63,142.88,30265273,419629830508.47455,26.41,1.0,5.58,180.73,99.87,Technology
2025-06-01,PEP,171.3,173.46,174.39,169.26,27450578,226461666666.66666,22.6,2.6,7.68,187.98,158.58,Consumer Staples
2025-06-01,PFE,30.26,30.18,30.68,29.87,8008480,160635483870.96774,11.26,5.37,2.68,35.12,25.77,Healthcare
2025-06-01,PG,169.51,173.06,175.18,168.96,8337371,391266086956.5217,24.29,2.32,7.12,212.94,129.73,Consumer Staples
2025-06-01,PLD,128.63,131.68,132.14,127.41,8744592,126615384615.38463,37.72,2.72,3.49,157.57,117.3,Real Estate
2025-06-01,PM,110.24,112.96,114.4,109.22,5534192,169439999999.99997,16.74,4.61,6.75,145.6,103.34,Consumer Staples
2025-06-01,PYPL,73.15,71.94,73.93,71.41,5369128,77078571428.57141,17.64,0.0,4.08,90.18,64.12,Financials
2025-06-01,QCOM,221.03,217.39,222.78,214.91,9868308,227501162790.69766,16.43,1.65,13.23,253.11,155.28,Technology
2025-06-01,REGN,1076.16,1077.23,1086.22,1073.03,8447355,112619500000.0,17.5,0.0,61.56,1340.5,783.6,Healthcare
2025-06-01,RTX,112.73,111.68,113.42,110.58,13559435,147322553191.48938,18.3,2.28,6.1,140.42,73.63,Industrials
2025-06-01,SCHW,80.72,82.43,83.36,80.55,5105012,139100625000.0,16.83,1.26,4.9,108.46,61.07,Financials
2025-06-01,SO,82.6,83.41,84.41,81.65,3337025,86353882352.94118,16.72,3.63,4.99,109.48,70.0,Utilities
2025-06-01,SPGI,461.73,463.76,466.74,457.95,7446317,146185217391.30432,36.35,0.75,12.76,620.69,394.93,Financials
2025-06-01,SYK,369.77,361.48,373.99,360.36,5615433,131891351351.35136,35.29,0.91,10.24,443.42,293.49,Healthcare
2025-06-01,T,21.15,20.71,21.37,20.66,9111806,133135714285.7143,7.0,7.63,2.96,23.27,15.44,Communication Services
2025-06-01,TJX,115.05,116.28,116.73,114.49,12407606,130815000000.0,23.64,1.32,4.92,129.48,92.53,Consumer Discretionary
2025-06-01,TMO,564.26,558.18,570.77,550.21,24689729,211723448275.86206,29.89,0.28,18.67,690.82,370.89,Healthcare
2025-06-01,TSLA,260.09,261.28,263.41,257.91,15697711,854184615384.6152,51.53,0.0,5.07,338.9,171.12,Consumer Discretionary
2025-06-01,TXN,199.07,194.77,200.36,193.15,4263169,175768048780.48782,25.93,2.59,7.51,245.46,163.83,Technology
2025-06-01,UBER,77.21,78.68,79.73,76.43,12607410,152114666666.6667,25.38,0.0,3.1,92.59,58.77,Technology
2025-06-01,UNH,581.69,584.91,592.65,576.23,10477754,536167500000.0,26.86,1.26,21.78,761.6,512.14,Healthcare
2025-06-01,UNP,248.39,248.6,250.46,244.96,3669287,151109803921.56863,18.97,2.13,13.1,302.38,161.82,Industrials
2025-06-01,UPS,146.36,143.79,146.89,142.41,11081120,115959677419.35483,15.76,2.91,9.12,155.6,95.24,Industrials
2025-06-01,V,302.74,300.87,306.57,296.64,32458942,601740000000.0,36.11,0.64,8.33,345.71,208.46,Financials
2025-06-01,VRTX,481.05,480.43,485.86,478.48,9797211,125111979166.66667,29.07,0.0,16.53,597.82,434.75,Healthcare
2025-06-01,VZ,44.88,44.4,45.49,43.9,12925688,172666666666.66666,10.06,6.25,4.41,56.05,34.52,Communication Services
2025-06-01,WMT,74.11,75.0,76.0,73.54,34759772,587412587412.5874,29.37,1.09,2.55,81.3,66.33,Consumer Staples
2025-06-01,XOM,116.17,119.92,120.41,114.78,26302418,469890612244.898,13.12,2.98,9.14,147.45,81.63,Energy
2025-06-01,ZTS,152.4,154.17,154.81,150.75,9145529,69890399999.99998,26.05,0.67,5.92,169.58,110.79,Healthcare
2025-06-02,AAPL,211.57,213.07,214.91,210.1,49806398,3325970731707.3174,25.98,0.51,8.2,258.68,176.02,Technology
2025-06-02,ABBV,180.92,178.36,182.3,175.95,10221447,302967671232.8767,18.39,3.2,9.7,235.16,117.65,Healthcare
2025-06-02,ABT,121.17,120.29,122.31,118.72,10713450,200483333333.33334,20.78,1.65,5.79,155.17,90.88,Healthcare
2025-06-02,ADBE,590.85,586.92,594.53,579.87,30229967,254332000000.0,47.24,0.0,12.42,681.12,494.61,Technology
2025-06-02,ADP,256.25,255.41,259.4,251.68,9281964,105168823529.41176,26.92,2.17,9.49,319.98,230.51,Financials
2025-06-02,AMD,162.09,162.23,163.81,160.64,12424597,245803030303.0303,45.62,0.0,3.56,203.7,126.93,Technology
2025-06-02,AMGN,301.69,299.36,306.02,295.08,14377793,152133770491.80328,15.2,2.83,19.69,338.45,219.11,Healthcare
2025-06-02,AMT,214.02,219.02,220.84,211.41,12112166,101497073170.73172,26.75,2.34,8.19,268.51,164.5,Real Estate
2025-06-02,AMZN,180.79,182.45,185.0,178.93,68129422,1876628571428.5713,38.47,0.0,4.74,243.23,153.92,Consumer Discretionary
2025-06-02,AVGO,1749.61,1792.9,1798.69,1736.94,31169077,822624705882.353,32.42,1.79,55.3,2134.42,1279.97,Technology
2025-06-02,BAC,45.46,45.11,45.56,44.58,11744179,335702325581.3954,16.44,2.3,2.74,54.87,30.18,Financials
2025-06-02,BKNG,3816.79,3773.39,3864.98,3749.99,12933753,135842039999.99998,21.97,0.0,171.75,4839.4,3398.7,Consumer Discretionary
2025-06-02,BLK,884.03,889.48,901.69,877.37,7907280,137234057142.85713,21.49,2.48,41.39,1102.22,719.26,Financials
2025-06-02,BMY,54.61,53.96,54.88,53.34,10111782,103014545454.54546,9.59,4.94,5.63,64.83,42.38,Healthcare
2025-06-02,BRK.B,444.59,447.51,450.14,440.54,29553809,925882758620.6896,17.24,0.0,25.96,549.42,382.36,Financials
2025-06-02,C,63.98,64.97,65.42,63.6,10258151,124942307692.30768,12.14,3.67,5.35,86.94,57.43,Financials
2025-06-02,CAT,370.22,366.4,374.13,361.62,6771561,190528000000.0,14.97,1.99,24.48,408.33,301.74,Industrials
2025-06-02,CB,241.21,243.54,244.25,240.29,10793306,94433877551.02042,13.6,1.78,17.91,326.89,210.98,Financials
2025-06-02,COST,850.46,847.47,853.12,837.73,22872814,368044114285.7143,47.88,0.46,17.7,1112.74,760.18,Consumer Staples
2025-06-02,CRM,282.18,291.01,291.74,278.91,14744522,275136727272.72723,35.14,0.0,8.28,351.51,260.33,Technology
2025-06-02,CVX,159.41,160.74,162.7,157.74,26367622,286859076923.0769,13.39,3.2,12.0,182.47,110.34,Energy
2025-06-02,DIS,114.01,113.84,114.88,113.13,5822695,196449557522.1239,30.29,0.0,3.76,131.14,99.22,Communication Services
2025-06-02,DUK,110.87,109.33,111.33,108.5,6455388,81500545454.54546,18.42,3.76,5.94,138.26,86.79,Utilities
2025-06-02,ELV,540.59,549.27,552.77,533.68,12308507,123709459459.45946,14.48,0.99,37.93,674.93,486.07,Healthcare
