Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-06-2025,SLH,34.92,34.53,35.22,34.38,2966611,57381363838.88288,29.63,2.85,1.17,39.39,28.44,Industrials
01-06-2025,WGB,206.5,208.45,210.51,205.12,1658738,52747068434.39094,13.03,2.73,16,227.38,136.79,Energy
01-06-2025,ZIN,125.1,124.03,127.4,121.77,10709898,55969486767.08182,29.19,2.64,4.25,138.35,100.69,Healthcare
01-06-2025,YPY,260.55,265.28,269.99,256.64,14012358,79640893981,19.92,1.29,13.32,317.57,178.26,Industrials
01-06-2025,VKD,182.43,186.89,189.4,179.02,14758143,72714371067.00156,40.18,1.17,4.65,243.54,165.53,Technology
01-06-2025,PJO,71.47,71.2,72.79,71.07,5719915,85866943556.69202,30.51,2.71,2.33,82.93,56.81,Consumer Staples
01-06-2025,MLK,202.91,202.21,205.94,200.25,750059,87762878424,27.13,1.14,7.45,242.53,142.52,Materials
01-06-2025,SFM,60.12,59.34,60.83,59.08,3053505,99860106809.94107,25.47,2.4,2.33,68.11,52.66,Consumer Staples
01-06-2025,PSE,92.78,92.3,92.94,91.3,3260643,12913607293.63027,14.65,0.58,6.3,105.7,70.31,Healthcare
01-06-2025,DJF,16.36,16.1,16.4,15.98,3084579,10178692908.49648,24.28,0.68,0.66,21.28,15.22,Financials
01-06-2025,GPH,88.06,90.51,90.64,86.96,14070514,21792396948.80056,31.58,2.18,2.87,97.72,71.29,Materials
01-06-2025,FUQ,71.49,70.21,72.5,69.94,14402936,41693992540.810646,23.53,3.28,2.98,84.66,52.5,Consumer Discretionary
01-06-2025,AOY,196.83,193.54,197.92,192.94,8501424,17319135216.55507,13.51,3.2,14.33,217.51,139.1,Materials
01-06-2025,PTR,103.57,105.01,107,103.46,3012050,19761151778.116512,27.73,3.39,3.79,127.27,85.7,Real Estate
01-06-2025,TTA,214.55,210.17,217.01,208.3,6009493,16814043842.773224,25.93,2.84,8.11,248.22,169.16,Financials
01-06-2025,XAB,158.69,160.57,162.35,158,4324947,12627584863.621538,23.54,0.42,6.82,172.46,141.53,Technology
01-06-2025,IMD,86.4,87.92,89.04,85.32,3446743,41137925071.986374,34.32,3.22,2.56,116.15,59.56,Consumer Staples
01-06-2025,HXJ,156.26,160.38,162.84,153.6,14091615,13325221593.52026,26.66,1.7,6.02,194.36,123.34,Materials
01-06-2025,RLR,158.79,156.35,161.9,154.98,12641391,33926474725.429314,21.68,3.55,7.21,204.6,147.93,Consumer Staples
01-06-2025,FBR,96.35,93.64,97.98,92.56,9364658,37073727464.27126,17.15,2.96,5.46,111.6,76.13,Communication Services
01-06-2025,VBD,137.37,133.32,137.95,132.84,10407426,57140817891.400764,34.43,1.85,3.87,168.46,89.65,Communication Services
01-06-2025,KUN,100.5,99.5,100.93,98.41,10245776,97805702768.04805,20.98,1.25,4.74,127.85,89.01,Industrials
01-06-2025,JGL,48.59,47.57,49.04,46.78,12434018,32827628858.11238,8.69,2.92,5.47,62.87,31.37,Energy
01-06-2025,CTK,284.9,290.72,293,283.19,1441087,73965258205.04137,22.82,3.97,12.74,342.54,254.54,Utilities
01-06-2025,YGL,209.69,208.23,210.64,204.76,14674610,11030037501.988781,14.44,0.63,14.42,266.02,158.29,Healthcare
01-06-2025,KWC,231.16,227.99,232.42,224.17,11301140,56343160566.02002,33.17,3.97,6.87,284.12,208.41,Real Estate
01-06-2025,TDW,270.11,271.45,274.12,266.47,8083607,49224895780.78021,29.85,4.98,9.09,366.24,234.52,Real Estate
01-06-2025,JHP,67.57,68.87,69.38,66.55,12948100,54302003398.80119,24.99,2.05,2.76,78.88,58.12,Healthcare
01-06-2025,BFK,239.35,246.2,250.94,238.24,1503041,60928018907.81196,15.32,0.74,16.07,277.85,216.38,Energy
01-06-2025,ZZB,75.63,77.85,78.42,74.39,9839796,93586669959.90622,23.41,1.69,3.33,101.94,70.27,Materials
01-06-2025,PUC,273.89,266.14,279.01,265.8,1555800,60365991968.32518,32.76,0.73,8.12,317.68,229.53,Consumer Discretionary
01-06-2025,XRU,54.78,55.46,56.28,53.76,10015016,85115180983,21.29,0.61,2.6,74.03,49.57,Financials
01-06-2025,RCP,68.09,68.22,69.31,66.88,1606304,85249542776.67201,34.8,1.89,1.96,76.02,55.06,Industrials
01-06-2025,CEJ,285.92,282.8,286.95,280.58,7510714,37917422191.282715,33.53,3.6,8.43,314.78,264.9,Consumer Staples
01-06-2025,YAU,47.94,46.74,48.35,46.28,4149553,6910160355.935512,12.92,2.17,3.62,54.94,32.85,Real Estate
01-06-2025,LFB,235.08,239.33,242.21,230.48,10361775,67188120245.22673,34.62,1.88,6.91,254.33,178.81,Technology
01-06-2025,PMQ,291.94,285.24,294.22,284.47,9900611,65479332253.48963,32.56,2.63,8.76,313.97,195.72,Real Estate
01-06-2025,YLZ,299.51,297.86,303.52,296.9,556004,72252723661.20801,37.01,0.34,8.05,343.87,205.25,Technology
01-06-2025,WJJ,45.08,45.41,45.93,44.47,12914818,91967188457.82875,34.77,3.96,1.31,55.64,29.72,Real Estate
01-06-2025,RBB,94.48,97.31,97.77,94.22,3445011,94384333458.90262,28.24,3.85,3.45,128.37,85.26,Consumer Staples
01-06-2025,CTZ,89.44,87.89,90.93,87.56,10997800,66970533201.95033,12.36,1.64,7.11,114.81,65.99,Healthcare
01-06-2025,GDT,87.12,89.73,91.27,86.77,5242514,9167805481,14.05,1.89,6.39,106.08,61.9,Consumer Discretionary
01-06-2025,XHD,81.17,83.6,83.81,80.33,7462025,75234709759.01668,18.6,2.94,4.49,96.96,73.24,Consumer Discretionary
01-06-2025,CWU,91.36,92.5,93.91,90.21,11592388,77594582723.31226,10.71,2.63,8.64,116.85,64.17,Energy
01-06-2025,YXP,137.65,135.19,139.51,133.02,13092640,82119340725.15314,22.67,1.5,5.96,146.77,127.89,Materials
01-06-2025,GST,89.92,89.48,90.61,89.19,5550793,34637801138.008896,20.32,1.38,4.4,114.3,59.3,Financials
01-06-2025,IIO,214.18,212.84,217.68,211.04,5417482,48905901222.27376,34.4,2.27,6.19,258.54,175.57,Financials
01-06-2025,PCP,89.32,90.89,92.38,87.66,646258,45910110883.542854,14.46,2.92,6.29,117.05,72.48,Industrials
01-06-2025,GKN,232.82,231.31,233.32,229.03,527466,26740263630.953953,31.31,1.43,7.39,278.65,215.71,Technology
01-06-2025,WYV,179.69,180.78,183.74,179.06,12609765,7824911796.482867,35,0.96,5.17,228.2,121.98,Materials
01-06-2025,WQQ,224.77,227.88,230.84,224.31,4139179,85291660602,12.02,3.19,18.96,242.38,161.02,Consumer Discretionary
01-06-2025,YWL,296.29,291.66,300.38,285.94,14548536,28860995482.70545,27.12,3.08,10.75,333.98,209.47,Materials
01-06-2025,JEZ,275.96,274.45,281,268.96,3967240,46839029736.549286,22.99,4.62,11.94,307.61,188.89,Consumer Staples
01-06-2025,NMM,217.3,219.82,220.48,215.41,9158286,46351448137.19671,17.73,2.12,12.4,266.62,178.92,Energy
01-06-2025,EIP,35.34,35.02,35.81,34.42,11226096,34787178628,14.55,1.5,2.41,43.48,30.2,Energy
01-06-2025,WHJ,136.49,140.16,141.88,135.07,9826062,85764133860.66315,28.75,0.52,4.88,169.25,103.42,Financials
01-06-2025,TBI,49.13,50.36,50.85,48.51,5455898,15452898404.121181,11.29,0.53,4.46,64.02,35.77,Energy
01-06-2025,TPN,91.96,92.07,93.18,91.13,13369611,77024313434.28627,17.89,2.33,5.15,124.14,75.81,Healthcare
01-06-2025,GPX,190.9,192.79,193.72,188.84,6150479,74092883510.10826,30.52,3.18,6.32,244.29,164.18,Industrials
01-06-2025,GGB,146.94,151.33,153.18,144.02,13176445,62218555348.04405,26.71,4.2,5.67,187.1,104.53,Real Estate
01-06-2025,FVY,206.73,206.87,208.78,202.8,6977726,16422033455.758324,24.59,3.73,8.41,242.9,143.58,Real Estate
01-06-2025,APJ,239.73,241.85,243.03,235.65,9238933,40567841810.56381,12.31,0.76,19.65,274.67,228.31,Consumer Discretionary
01-06-2025,JOJ,227,224.8,230.7,220.35,7988954,40588424213.29013,11.39,3.46,19.74,285.9,191.2,Energy
01-06-2025,ZZM,91.73,90.38,93.45,89.89,14934516,84302054103.56668,28.74,1.8,3.14,121.45,71.71,Technology
01-06-2025,LIC,101.35,100.43,102.6,99.97,2109559,55254202198.22106,25.99,1.79,3.86,122.61,92.64,Materials
01-06-2025,RKZ,75.87,74.08,76.15,73.84,4267936,42969475673.20084,16.34,3.6,4.53,98.08,50.85,Consumer Staples
01-06-2025,IQP,196.2,200.6,202.56,193.44,14306825,71138737755,34.73,3.45,5.78,216.85,148.2,Financials
01-06-2025,IWL,281.73,287.05,292.01,279.38,14525673,90624908465.19037,22.25,1.13,12.9,309.96,226.86,Materials
01-06-2025,BWQ,200.15,198.63,203.13,195.89,8170542,72382124452,30.35,1.62,6.54,242.97,139.59,Materials
01-06-2025,GNU,226.66,230.92,234.69,225.5,8433970,52149050389.71474,21.62,2.43,10.68,269.52,213.87,Financials
02-06-2025,KJY,86.05,88.38,89.22,85.37,10778418,66901232066.31458,30.52,1.56,2.9,106.44,74.63,Healthcare
02-06-2025,QMA,254.04,249.82,254.3,246.45,8535911,40450622865.557594,30.96,4.19,8.07,303.84,199.6,Consumer Staples
02-06-2025,KCP,177.71,180.03,180.89,174.68,1910274,98232693243.48483,38.94,0.72,4.62,238.1,117.09,Technology
02-06-2025,IHA,137.4,136.87,139.13,136.39,13603655,1501151348.4532278,20.39,1.94,6.71,168.46,104.07,Healthcare
02-06-2025,XNY,171.48,174.08,175.17,169.35,1441150,4135729467.1998672,19.48,0.71,8.94,234.26,159.53,Materials
02-06-2025,PJH,71.73,73.04,74.32,71.38,4322105,86509661899.29454,21.86,2.4,3.34,78.39,54.97,Materials
02-06-2025,IAD,65.87,66.79,66.93,64.67,1804131,74446477304.16751,28.15,2.26,2.37,86.77,48.91,Consumer Discretionary
